study_accession	sample_accession	experiment_accession	run_accession	experiment_title	fastq_ftp	submitted_ftp
PRJEB34392	SAMEA5952685	ERX3537222	ERR3517618	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517618/SA225_S1_L002.bam
PRJEB34392	SAMEA5952685	ERX3537222	ERR3517620	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517620/SA225_S1_L003.bam
PRJEB34392	SAMEA5952685	ERX3537222	ERR3517621	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517621/SA225_S1_L004.bam
PRJEB34392	SAMEA5952685	ERX3537222	ERR3517623	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517623/SA225_S6_L001.bam
PRJEB34392	SAMEA5952685	ERX3537222	ERR3517625	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517625/SA225_S6_L002.bam
PRJEB34392	SAMEA5952685	ERX3537222	ERR3517628	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517628/SA225_S6_L003.bam
PRJEB34392	SAMEA5952685	ERX3537222	ERR3517629	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517629/SA225_S6_L004.bam
PRJEB34392	SAMEA5952686	ERX3537223	ERR3517631	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517631/ActiveRASA144_S11_L003.bam
PRJEB34392	SAMEA5952686	ERX3537223	ERR3517633	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517633/ActiveRASA144_S27_L007.bam
PRJEB34392	SAMEA5952686	ERX3537223	ERR3517635	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517635/ActiveRASA144_S37_L001.bam
PRJEB34392	SAMEA5952687	ERX3537224	ERR3517638	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517638/ActiveRASA145_S21_L007.bam
PRJEB34392	SAMEA5952687	ERX3537224	ERR3517640	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517640/ActiveRASA145_S31_L001.bam
PRJEB34392	SAMEA5952687	ERX3537224	ERR3517641	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517641/ActiveRASA145_S5_L003.bam
PRJEB34392	SAMEA5952688	ERX3537225	ERR3517643	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517643/ActiveRASA151_S25_L007.bam
PRJEB34392	SAMEA5952688	ERX3537225	ERR3517645	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517645/ActiveRASA151_S35_L001.bam
PRJEB34392	SAMEA5952688	ERX3537225	ERR3517647	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517647/ActiveRASA151_S9_L003.bam
PRJEB34392	SAMEA5952689	ERX3537226	ERR3517649	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517649/ActiveRASA166_S12_L003.bam
PRJEB34392	SAMEA5952689	ERX3537226	ERR3517651	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517651/ActiveRASA166_S28_L007.bam
PRJEB34392	SAMEA5952689	ERX3537226	ERR3517653	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517653/ActiveRASA166_S38_L001.bam
PRJEB34392	SAMEA5952690	ERX3537227	ERR3517655	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517655/SA222_S1_L001.bam
PRJEB34392	SAMEA5952690	ERX3537227	ERR3517657	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517657/SA222_S1_L002.bam
PRJEB34392	SAMEA5952690	ERX3537227	ERR3517659	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517659/SA222_S1_L003.bam
PRJEB34392	SAMEA5952690	ERX3537227	ERR3517661	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517661/SA222_S1_L004.bam
PRJEB34392	SAMEA5952690	ERX3537227	ERR3517663	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517663/SA222_S3_L001.bam
PRJEB34392	SAMEA5952690	ERX3537227	ERR3517665	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517665/SA222_S3_L002.bam
PRJEB34392	SAMEA5952690	ERX3537227	ERR3517668	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517668/SA222_S3_L003.bam
PRJEB34392	SAMEA5952690	ERX3537227	ERR3517669	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517669/SA222_S3_L004.bam
PRJEB34392	SAMEA5952691	ERX3537228	ERR3517672	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517672/SA227_S1_L001.bam
PRJEB34392	SAMEA5952691	ERX3537228	ERR3517673	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517673/SA227_S1_L002.bam
PRJEB34392	SAMEA5952691	ERX3537228	ERR3517675	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517675/SA227_S1_L003.bam
PRJEB34392	SAMEA5952691	ERX3537228	ERR3517678	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517678/SA227_S1_L004.bam
PRJEB34392	SAMEA5952691	ERX3537228	ERR3517679	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517679/SA227_S7_L001.bam
PRJEB34392	SAMEA5952691	ERX3537228	ERR3517682	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517682/SA227_S7_L002.bam
PRJEB34392	SAMEA5952691	ERX3537228	ERR3517683	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517683/SA227_S7_L003.bam
PRJEB34392	SAMEA5952691	ERX3537228	ERR3517685	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517685/SA227_S7_L004.bam
PRJEB34392	SAMEA5952692	ERX3537229	ERR3517687	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517687/SA149_S14_L003.bam
PRJEB34392	SAMEA5952693	ERX3537230	ERR3517689	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517689/SA149P_S2_L001.bam
PRJEB34392	SAMEA5952693	ERX3537230	ERR3517693	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517693/SA149P_S2_L002.bam
PRJEB34392	SAMEA5952693	ERX3537230	ERR3517695	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517695/SA149P_S2_L003.bam
PRJEB34392	SAMEA5952693	ERX3537230	ERR3517698	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517698/SA149P_S2_L004.bam
PRJEB34392	SAMEA5952694	ERX3537231	ERR3517701	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517701/SA154_S3_L001.bam
PRJEB34392	SAMEA5952694	ERX3537231	ERR3517704	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517704/SA154_S3_L002.bam
PRJEB34392	SAMEA5952694	ERX3537231	ERR3517709	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517709/SA154_S3_L003.bam
PRJEB34392	SAMEA5952694	ERX3537231	ERR3517710	NextSeq 500 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517710/SA154_S3_L004.bam
PRJEB34392	SAMEA5952695	ERX3537232	ERR3517713	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517713/UPASA153_S15_L003.bam
PRJEB34392	SAMEA5952695	ERX3537232	ERR3517716	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517716/UPASA153_S31_L007.bam
PRJEB34392	SAMEA5952695	ERX3537232	ERR3517719	Illumina HiSeq 4000 sequencing; Single RNA-Seq of synovial tissue macrophages from Rheumatoid Arthritis patients with active disease and in disease remission.		ftp.sra.ebi.ac.uk/vol1/run/ERR351/ERR3517719/UPASA153_S41_L001.bam
